"","p_cntrl7291","p_cncr8189","p_cntrl2338","p_cncr4009","p_cncr4149","p_cncr8106","p_cncr7486","p_cncr3370","p_cntrl7734","p_cncr4167","p_cntrl3474","p_cncr7831","p_cntrl3963","p_cncr7735","p_cncr5687","p_cncr8514","p_cntrl9441","p_cncr4667","p_cntrl1189","p_cntrl5569","p_cncr3070","p_cncr7179","p_cncr9820","p_cntrl1085","p_cntrl2636","p_cncr5196","p_cncr8934","p_cncr2543","p_cncr8186","p_cncr2876"
"11000110111101011100",1278099,425116,44999,115946,6466,406396,6865894,405945,1868,30609,154446,545,155399,24203,258594,68359,299950,461254,24265,16029,4221,866745,13965,897111,652862,12114,20595,946196,771504,5035
"01011000011001110110",104232,229599,6106,370031,382884,275,44187,31733,51830,5652,1066345,140822,1298226,121,1349000,58276,5890,549057,1205327,567112,3803,55391,1135821,32638,78501,264352,13239,4442,260019,905513
"00110110100111110001",20470,91480,150122,3209,7354,30241,1105,7820,4320,3481654,41229,28067,3217,588,136804,404405,13020796,6793898,208512,45124,18466,475084,135261,111503,464888,216139,39,5259357,20539,517419
"10000000001001110010",223,35924,11711,45442,92460,401,2756481,14209,27340,4129,171637,3229,2393690,1186,1106654,1021,28262,220217,200687,30212,37720,538200,1072881,14289,507091,166408,2966685,68330,8381799,304411
"11010011100110011000",19,4,29,3,32,1397,77,45,21,1,423,0,24,60,641,336,669,87046,4,2,424,23,4,7932956,5043,33114,192,26,918,142303
"01111000101111100111",23273,0,5780,5,14,0,1,1,9,0,123366,0,992,0,6,0,323530,1,220,14184,0,0,0,32018,12233,3,1,0,15,874
"01101111100001011011",4,0,13,2047,6,584,56,14,68,2,370656,2,8,3,104,4,98874,13755,107,367,12,124,2,4087,22748,6502,9,18,21470,284087
"10101101100100011111",0,0,1,0,0,0,0,0,0,0,10462,0,0,0,0,0,2477,0,0,193,0,0,0,39791,6866,1,1,0,10,1504
"00111100000001001110",4217,0,1389,0,3,0,2,3,5,0,2180038,0,347,0,0,0,714425,0,1,545159,0,1,0,1073,1072,29,155,0,32,3018
"11010100010101101010",197539,4513969,396,216397,60405,382,405967,1668943,5408,7018,318432,784,168035,356450,71805,241746,288999,519882,4768,28145,93649,115190,1395952,37146,269192,66119736,119405,113107,278921,2225290
"10010001010010111011",83,20153,39729,7854,66023,1214,38885,33745,269032,220703,48971,448608,154787,8317,1550934,432489,8913,444243,45850,252638,15583,2313,3980660,8523,147581,684503,10516,177455,11941,2239278
"00001000100101000110",188373,1407802,21850,367984,3437119,132935,777655,35600,5064,12855,320581,57713,4686105,28670,2026,10995,19986,251500,1539701,22705,72531,1214492,25359,532913,348855,35586,786584,2753,64259,226793
"01001100000000110101",41350,1283904,115970,1390,111295,9575,272,1118,8209336,211972,147610,808188,411149,33514,979598,255536,54798,42272,2802011,463531,743,3594,2089511,5883300,195333,1565,6750,125133,19266,234385
"00111010001011000000",109123,233936,1649430,2329,61238,11847,17054,332263,10897,15293,52602,3813,5324,1103,350646,4746,62798,129224,3226,256985,331356,8187884,53449,4334,43807,93213,21724,106645,21170,469642
"10011000101100000111",751371,281386,103561,371568,103621884,19865,482299,826,1711668,12939,22771,18794,845008,49523,28279,18656,316,9345,321429,462792,769969,9329,5024,1491468,1100968,16234,1209665,8900,5522,20415
"11000110011011111111",2915,47271,85112,176937,2047,1025,128335,66874,37686,257112,749498,49811,106569,28,3972740,28984,436849,1567411,176381,538595,885,22545,5037366,52420,1814720,157031,3336,832849,111909,65719
"00111011000100011101",3,0,15,0,0,0,0,0,0,0,1544,0,0,0,0,0,18558,0,0,627,0,0,0,407181,965,19,1,0,0,2959
"01101111001001110000",40740,117305,118210,35709,3709,183294,2098,108221,38436,8179,1016131,859,18906,19384,2165951,733,214793,13747,269583,58882,7817,658503,11766,683,89218,2460,5480,149574,11960172,162809
"00001111110001111011",2547,129346,1323,703082,16918,121428,128969,158575,10289,2189409,51742008,39646,173846,3444,154717,39596,320711,2728822,763372,100397,13328,43637,19264,286,80223,33951,1875,1182045,556773,170886
"11111011110000011111",0,0,2,0,0,0,0,0,0,0,468696,0,2,0,0,0,347,0,0,33,0,0,0,11513,411,1,0,0,3,343
"11110000111101001000",1031835,261033,67209,186378,36725,39109,16848566,15701850,1944,468,11249,391,37862,279886,91324,779636,94820,57571,625,16507,146302,1101749,10565,28073,408781,515935,34098,385286,303595,106234
"11011010010111100111",126272,1524426,101834,379334,136094,2434,7442,29821,133895,101289,606673,20956,1942283,141,326824,109431,16973,732951,393852,49853,234231,49173,236123,252264,1495139,3071434,1602,46423,23077,1393433
"00100100111111010111",7573,0,20676,11,2,0,15,0,0,3,35288,0,44,0,1,0,32813798,3,49,47220,0,0,0,32545,40697,3,0,0,9,646
"00100100010100011001",34237,12523,215240,6253,2095,53909,39973,8414,5832,4616540,5377,1010675,556,221675,57052,1139854,23058357,81065,963,2059673,17,142221,191429,541845,1226602,371084,13854,92578,15171,2784211
"11011111011011011111",101,3,61,20094,186,1,7,2,156,21,14891,0,3,0,3219,7,656,18637,18,10112,1,3,59,13138,40541,213722,4,5,616,297693
"10110001110101101000",15019,501542,17029,408073,45098,27066,249187,5164016,212,3321,39123,669,67931,173434,6168,1410015,8682,395258,3496,7482,149376,290374,57886,809,572722,7103948,57442,687776,647632,717720
"00111111101000100001",330807,182576,88639,23987,737359,59008,931,20823,398211,61787,366610,3814,1663,17705,54112,12910,2832,30243,67354,251976,854845,5472,3261,1547,74465,10721,10902,2076477,8723,10806
"01101010010100001001",292678,72573,441608,5246,680,1682555,101427,619854,27787,95855,144168,85629,9388,316061,119645,623297,1889103,34461,599,148744,6400,339884,3751,552337,545786,131537,59737,57618,27953,923799
"11000110101010101110",7854,318018,15641,7311,112168,65907,330884,1302759,70344,3758,1240488,19067,671647,8018,70200,31964,1446,579277,405466,13841,1168156,18270,915654,417933,228071,10068,1868051,618514,21322,2502
"01011011000100100000",1304611,4393380,16375,886,83727,248962,1535,169487,114648,3745,141396,339,115266,1513764,267207,23771,6592,67799,34310,2831,1678828,27668,5701,483514,19382,123238,258159,28086,45357,285341
"11010100101000001000",987419,3467385,13890,645,932287,17123,3039685,2800663,1119152,421,27381,413,72142,17144689,318103,133005,6181,20288,2977,20087,3776708,31327,98320,469613,15834,6178,393239,3223453,10111,3297
"10011000011011111010",580,145904,4207,297915,362243,578,214048,300475,6431,215775,406203,14677,540922,696,5460107,462977,4063,841065,39401,823156,17573,189681,1325732,570,94563,929704,87035,27645,1362885,7723931
"01100100100111110011",3831,22599,50352,96651,14408,72512,13880,24077,26939,462782,85503,653184,85109,3656,180037,174071,36963213,438904,8121813,18931,2039,120109,222504,166043,1312821,24465,65,137297,163614,1790576
"00011101001011101011",47086,1454464,10825,636482,1436199,300,1808,131249,34758,361532,84693,2168,1893,7328,797739,15108,57395,137174,47736,5356556,9491,1275,638904,336,64688,440567,22315,54463,5029,701019
"00100100110000100100",2435,0,1422,0,2,0,1,3,1,0,707545,0,535,0,0,0,36525,7,7,1445,0,0,0,45023,2705,14,26,2,5,196
"10001111100001101100",12094,21245370,19247,74461,156739,228228,22038,871075,10949,7452,5755544,257,1725146,146720,10814,16587,556,277631,298667,14720,923755,226976,95436,2105,167956,9447,584897,3287928,855603,9076
"10101101101000101110",212,0,665,4,42,0,4,3,13,0,3423158,0,3023,0,0,0,323,0,38,25991,0,0,0,130,6360,0,8845,0,968,56
"10011101011001101100",435885,16742545,14733,2201279,2105136,281,4928,294733,6898,19618,127623,224,28027,17820,91165,75590,153,59022,7859,1817601,7894,8855,954401,390,174684,1189599,274224,173473,112025,138988
"00011101100011101011",12455,4086002,3775,212050,2380626,5273,4073,535580,60836,339843,717785,16219,43993,41527,85940,185494,42295,737580,665346,275325,205133,3428,382848,554,27361,86296,1724,458907,3981,469821
"11010101101000011000",132,7,4,40,982,15,192,20,327,0,517,0,5,222,855,60,112,4071,3,63,70,2,19,387684,2441,8461,642,65,1447,15702
"10100011110011011010",0,0,46,1580,4,155,2206,139,0,3,50009,4,45,0,25,17,1834,337898,9,19,29,1864,30,946,51280,451456,74,23,31576,1190217
"11001011111010100001",42096,308154,280161,63669,287558,461384,56842,928176,1374862,166483,329224,2860,568322,2016,2994495,101861,299,41996,274362,1329,1161193,982,2382,18660,108445,1145,2622,2717734,30296,10955
"01010100001010000101",6722618,1380070,2363312,452,822131,330,2171,10849,5022504,33359,811,97332,1934,7175,696655,41192,74665,39662,26309,902338,5667,980,4536245,21429019,74600,16222,2216,247094,11,16083
"00100001101101101000",26876,109928,31752,483257,17763,130752,265662,3377195,28,4119,9644,292,4765,54535,11906,73972,97100,243611,8279,18665,4616,100623,16911,3299,751267,286661,2260815,91058,640646,99098
"10100011100010001000",0,1,352,9,18,658,125,255,4,1,1978,0,8,4,7,42,88,35961,1,7,622,164,25,51176,25463,71558,6476,97,714,96184
"11101010000101001101",5316,0,157508,0,0,0,12,4,19,0,302472,0,3064,0,7,0,4977530,0,0,8097,0,1,0,125689,49517,1,83,0,739,358
"00010100011000111111",29287,29542,5529,48687,149905,40,18090,1873,40504,513219,92658,1556469,3388,305,191919,357594,46446,1795305,29177,36216695,134,789,16620712,188231,340014,2540804,111779,67100,1302,161376
"10001110101110101100",106474,3305583,29177,46061,958909,919285,7763,127627,2490,1031490,110121,1065,88275,30721,33847,587676,413,320975,78583,63230,86417,27082,33089,502287,680568,13498,6995913,184683,55362,18052
"11010110011011110011",19435,67300,29665,43091,20764,146,77194,24275,569550,263077,517961,7479,60051,44,19135327,9045,562276,987670,128540,83944,63397,30331,873039,16914,216023,514724,96,2472368,65701,185350
"11101010110011110010",91,18655,44705,82462,9454,857103,382269,1316936,55343,25411,38922447,436499,43106974,451,550876,116465,20194,504652,6181890,1505,1193316,12217668,35853,987,221267,7446,410,324300,24406995,1766663
"01000101101101011010",281,2,1,14069,136,57,1250,24,1,2,1645,0,2,12,120,5,63967,32330,25,54,1,9,3,245895,18758,81845,983,1,11610,130406
"10011010011100010010",130599,22782,13727,42078,712491,60089,1544031,2550,84285,120373,318931,5875,318719,23090,748364,4456,4110,44827,11716,133308,298326,1043631,1493,92720,145657,221103,866960,4128,653559,564627
"10000010110110100101",17356,283118,438581,12186,84300,54826,35141,20680,12830,2273740,34586,104741,470819,110,15874,1486065,3458,4528878,125716,2769,65427,9165,199118,9490431,3123426,299527,26706,2014311,1696,36566
"00011111110001100011",200162,1459126,1665,742203,885149,3821,23441,99674,86083,327468,24771172,8622,89215,1228,24307,9048,22666,1717553,458876,34937,1572585,15480,17719,324,32709,580405,460,1918900,12979,90943
"10111011011000100101",4262,0,63946,0,2,0,0,0,108,0,393181,0,225,0,6,0,521,0,1,41874,0,0,0,795,9781,12,42,1,28,97
"00100110110001101001",8996,178515,23307,29056,707,9130,144141,2328753,784,363494,2235985,38572,4469,649,8299,647422,3022192,9828101,3886,59896,15703,293631,413287,3385,510917,1626157,4257,53459035,29708,74775
"00110110111010110000",21276,12690,41887,1523,42267,18910,6355,80291,4820,1576295,173913,325777,2001,110,162003,732842,27260,4588728,42345,59583,30785,139824,243713,16968,37949,111606,688,2741409,8923,114350
"01001010001001001101",612087,1384149,908444,9010,4532,19850,263532,402153,96445,3069,172435,1762,52628,5176,1210326,8220,291212,105857,7632,663446,10036,103081,73963,589414,258281,6917,274305,247471,15699,9186
"01011000001100001000",8709107,2663210,20397,2145,324053,65369,140057,685944,48262,3615,5183,557,12927,12037955,909275,311447,38428,14790,798,217041,46078,37436,11707,2669343,25657,60035,4715359,5044,13434,281435
"11001101001101001110",1122,44,7,251947,2364,9,50,7,6,0,1864,0,12,24,34,1,219,581,10,997,1,7,11,100819,205436,387291,59863,0,16338,306041
"01011111111110110100",7933535,678095,27879,74953,933102,956897,290,31302,19318,1600393,110957,15014,22454,3380,560045,583958,1300,397606,2208469,26222,7556,2263,5854,328243,33900,4434,307,41599,9487,46816
"10011011100100111011",1435,75345,4186,26778,204283,1297201,101239,8444,256121,58411,1460090,3424,1497050,833959,343124,83189,4220,166767,434673,44601,2709862,22025,1549,21489,219668,18893,299664,131388,831540,138302
"01010100000100101001",1265237,5235530,6503,613,26969,1536,3363,100235,119354,58611,6440,3341,2502,2520700,245856,2219708,1922112,278189,2240,163873,10397,1343,1201125,10546544,133410,1949426,96817,459792,1102,338463
"01010010110001100001",287948,1621529,14966,2338,7220,1211,362239,2026394,79514,11301,1141396,5603,217112,282,270078,433314,355515,19014089,31530,1298,1863157,35660,201232,232770,37321,828497,239,48797188,3736,24191
"01111001101000101011",21018,36609,17808,143789,420535,72965,50279,817925,723836,474,434994,47554,43163,275055,203285,128012,3063,10678,179567,451877,501932,1449,10543,1627,81602,9412,106438,44071,34102,66104
"10001011000101010100",22,11,183,920,110,98,8,0,4,4,2215,0,150,1,66,1,213,13329,28,51,4,491,5,692443,161128,106038,4126,1,65452,654782
"10100000100000011111",4,0,25858,0,0,0,404,0,182,0,461712,0,24888,0,1,0,260161,0,21,20965,0,0,0,82063,18945,0,198,0,119,104
"01110010010000100111",1908,0,5507,0,0,0,2,1,109,0,3682065,0,773,0,1,0,396905,7,3,7575,0,0,0,130654,4181,222,6,0,2,332
"11000100100010100100",17312,6323463,117127,780,906874,24938,8740,277115,858570,10305,57778,91006,3580726,50317,38974,488711,857,173714,2053572,1417,409273,11612,6631593,5017984,144014,3373,25699,1947580,5399,18735
"01100010100101101111",757,0,1792,0,0,0,48,14,0,0,3381077,0,2301,0,0,0,25756787,21,13,1163,0,0,0,149798,37409,19,70,1,118,98
"11101110101110111010",2160,14898,10956,74128,37239,18977810,59833,214672,22695,125614,1543652,19084,268661,243482,627593,173230,29834,31925,749471,43872,141544,487025,3104,19970,586360,1677,187615,28968,11870641,294771
"10111000010001010101",701,0,148993,0,1,0,2,0,220,0,178751,0,5302,0,17,0,189653,0,3,115984,0,0,0,4596,9022,3,0,1,173,4043
"01111010011011000110",32612,0,25622,0,1,0,7,16,7,0,2340763,0,595,0,9,0,197614,1,3,17699,0,0,0,2710,838,11,1,0,13,905
"00001010101110110010",4731,17985,5451,22331,417023,1959886,85812,14056,3918,2249492,543265,48137,457070,1159,403117,48108,12016,1481385,2385408,10053,89279,123075,3201,321008,113924,6137,675720,6665,345416,274424
"00011000111000001100",1440029,1306948,25125,19122,4048213,15780,433981,692970,13171,19885,81550,87493,60704,21534,22911,2822177,205,396357,5904,760009,37661,20589,109144,197151,22605,44058,904177,65240,978,25376
"01100001010110011000",8,0,170,82,2,278,7,52,0,21,55,13,0,4,150,1675,24865,21353,1,79,0,19,62,1316959,36547,660716,90,0,729,22458224
"00110011101001100000",45192,112043,81513,13276,31258,10759,84509,1009861,1868,454,185430,331,10080,1156,29236,2742,10336,837448,20947,6959,2166372,370411,24689,789,61885,215554,54431,2469723,94390,10995
"00011001111111110000",265928,511920,12171,1036541,2276978,53100,7623,131136,530,3297912,15920,1918,39494,922,1111411,1079939,6216,1153546,441699,17642,3261,15135,7263,4693,38924,67182,605,29131,132668,1467482
"01110111101111111011",38216,10750,34169,211200,3746,172431,14514,182962,4431,62364,115969,4018,1224,5952,966753,28486,8862159,559041,325080,163875,11709,25489,12673,4132,365084,48899,201,276266,101720,96443
"01111100110101101111",61883,0,136,14,2,0,1,7,2,0,4350106,0,523,0,0,1,2400231,3,18,53812,0,0,0,5961,9240,90,1,0,31,2414
"10001000010000101001",1718,1109380,26942,13604,86580,3720,82286,201986,182829,344322,208773,34360,490185,53808,273375,3301096,2902,111153,3036,172663,23723,8636,627530,45440,415612,404269,1447628,702807,67033,1044178
"01101110101101010000",1508651,116156,98156,47707,16565,8115412,161634,95187,11103,41969,339003,1233,33874,130179,401152,6891,2835310,24574,200301,18229,21130,10322840,283,64312,166463,564,2875,108073,4919728,65072
"10011111001000010111",65,1,65,1184,6786,1,3,0,4595,7,8091,0,5,0,251,0,20,1795,49,12632,26,2,13,132600,53530,49014,1136,2,437,44171
"10011000101111111010",2214,280809,1951,474417,2041564,42704,357974,148840,2360,145653,118424,1235,1268405,19381,1446457,730000,7095,717108,437423,99714,148000,219732,36918,7702,201103,71322,275012,18107,3422954,1564180
"10001111111001011010",10,1,1,71797,406,65,2967,21,2,22,386359,0,26,0,115,2,203,42889,11,160,25,109,1,446,14588,78556,1135,13,143206,100049
"00110001010110101010",4438,21324,19786,47934,38928,12001,6836,764005,272,63364,16454,444393,2860,30151,7485,743498,28414,557994,3988,167928,5461,26515,840954,5868,226851,45093725,232743,2719,5270,17535136
"10000100101100001110",193519,281262,12491,169001,3467919,71924,5165544,35696,10059,9048,29615,7783,137156,792523,2878,13031,3904,37250,35806,150267,44553,51190,66098,1406511,1181938,41621,71082667,18015,24838,7286
"11010100011100100111",3328272,371922,15945,647186,2068324,94,23539,2099,616508,33191,19072,20452,34838,3662,90844,53460,6933,41598,52954,465793,10255,408,664818,2542127,2675649,5176931,78252,32629,2741,80893
"01101110011011000101",155685,0,302456,0,0,0,0,3,22,0,363038,0,28,0,21,0,5332880,0,2,39707,0,0,0,12129,4938,1,0,1,4,213
"01001001110101001100",2214,100,8,24764,267,166,77,348,0,2,2761,0,35,3,6,1024,370,71949,10,25,1,8,6,770299,27180,351116,499,1,903,485482
"01110000111010001010",46697,10843,47264,8634,104862,33223,3739037,21155010,18575,1876,70670,1417764,16954,17613,72578,914282,28699,246027,6967,82729,172410,89294,199040,31079,26310,114401,19181,45125,1436,175398
"10010000011010110001",3107,41216,249212,2528,241584,131,20139,4719,435619,1445909,2922,70308,33779,142,10766487,976893,6409,451144,14864,199868,6162,2327,2697847,230309,236024,308033,4415,1082655,5324,519234
"11101001100100010111",0,0,9,0,0,0,0,0,0,0,7697,0,6,0,0,0,1049,0,0,5,0,0,0,457370,5146,0,0,0,17,1106
"01101000011110000011",297891,7260,790563,487388,190796,104664,68638,49080,113123,447691,11937,1380379,9590,4810,316851,74001,286364,4576,30006,410182,1138,22572,7038,210259,1065382,65283,9880,783,6467,3789034
"10000101011101010011",95,0,12,301384,613,0,269,0,6,202,309,0,1,0,197,0,17776,6120,5,583,0,3,8,47642,555846,4552019,146,1,6407,1033612
"11110110010110101000",72403,496115,48146,1260,2598,40291,3974,2450309,5796,68367,58321,8098,5302,179021,90234,3269780,108926,340341,640,23403,131414,249436,562930,136183,308285,7791311,19201,740227,28443,1596248
"10111101010000100101",4692,0,18751,0,19,0,0,0,538,0,246737,0,324,0,1,0,1690,0,4,75880,0,0,0,903,6831,15,3,1,10,1095
"00000110100111011011",8585,58999,26480,9555,5465,345124,855866,44360,2847,4832284,209741,41033,21989,11548,150347,29343,107137644,6097487,137881,53305,7343,697136,45882,413238,277075,29249,2761,515965,19071,152723
"10110101100000110110",51,0,1263,0,17,0,1,0,179,0,1307665,0,11799,0,0,0,2927,0,424,3361,1,0,0,2002,2185,1,18,0,252,153
"11010010101001011011",9642,34756,35135,4611,9710,18758,105881450,284056,1053288,360,800253,1002,930769,24218,7455911,4601,597272,339991,46808,37464,4274462,447412,17522,70484,97278,5401,14240,4035058,314645,4020
"01100111000010111111",26,0,23069,0,0,0,0,1,55,0,1205704,0,147,0,14,0,6857511,1,56,26379,0,0,0,24491,4491,0,2,0,15,337
"11101010011110001000",114129,63077,951798,18845,6374,3761556,262223,3927862,7120,52565,33459,4872,22398,167294,612342,281489,23303,8279,502,48023,32316,1130546,2899,83086,561998,41912,448086,19736,297953,699347
"00000100101000110100",32703,205745,19253,3478,696109,7719,20487,4458,27044,109881,47376,129383,92566,2307,52371,101101,4258,777731,1135177,77067,2144,10084,1430791,1881623,130032,3930,341715,358519,18809,8300
"00010101111001100000",1888223,3059827,2762,300680,1873143,332,63322,890152,2431,45898,79339,425,5383,2235,35887,39737,6620,1285437,24597,12846,55936,5597,175767,1402,18743,990716,4418,2558669,8058,25851
"00110110011111001111",83888,0,14664,1,0,0,4,1,0,0,66477,0,1,0,1,0,49475700,10,0,695628,0,0,0,11135,20859,1178,3,0,1,655
"10101110101001001010",8302,112257,22016,344849,124367,364693,8806093,1265753,13714,2871,10296757,1289,190812,143877,18168,964,26350,22693,19225,161263,3153849,20082105,4168,185,314116,10820,1919236,370690,5191114,26268
"01101010001111111110",267,0,3880,0,0,0,1,4,0,0,1285536,0,1014,0,46,0,4487164,3,28,25535,0,0,0,16405,12676,2,139,0,4681,3866
"11110101110111100010",72558,379890,14936,1942508,527104,23978,25607,1560968,10787,9804,143113,9922,162424,46669,14374,86707,28289,84342,541055,1868,476331,102690,81930,1103,338746,1309596,142,132950,162065,1478005
"10010010001111111010",1256,52385,8839,14689,10892,3863,426785,74555,597,48184,63362,312,77245,1594,2491073,18368,198873,4116045,11813,88144,92241,928172,309681,36652,423276,3101335,1277294,55073,1236545,760213
"00110010111100001101",156580,0,17798,0,0,0,49,2,0,0,35160,0,6,0,0,0,665072,7,0,37879,0,0,0,385386,8916,39,70,1,0,20
"00001001001111011001",35,2,135,5046,100,19,5,1,1,836,26,0,0,0,3273,73,31890,20652,2,2731,0,2,7,215636,75737,108112,377,0,1236,4671107
"11110000011001011001",18427,19553,1021403,15733,1868,1083,2253182,309843,210933,1789,10692,9807,18221,15281,9531609,206224,1239278,25426,806,1016641,3359,376966,294404,13143,527411,119218,1253,1308070,279776,310088
"11110111101000001101",37,0,12,0,0,0,0,0,0,0,3583,0,0,0,0,0,963,0,0,27,0,0,0,104645,581,2,0,0,0,3
"00011010001010100010",16627,193200,11129,1997,977705,3112,11187,63426,58862,63182,585291,21929,65015,642,390380,9086,1381,852115,51981,114269,2203101,54176,200682,37930,19369,372827,1915844,17543,6723,365219
"00100011111101000100",94,0,6,0,0,0,0,0,0,0,2385,0,0,0,0,0,6333,1,0,1,0,0,0,40616,2172,183,1,0,1,84
"00001001011110110000",41793,76469,54588,136920,445519,149140,1852,18125,1701,13997462,4798,22546,16602,3599,1591892,314827,4445,97901,106879,48563,114,4241,17715,56107,120065,41431,60833,1974,110439,4387730
"00111011001101001010",181,1,8,14253,81,14,50,16,0,0,4982,0,0,1,14,1,2442,16981,0,2682,22,320,1,2295,46083,21567222,61773,0,7550,2051463
"01010011110110001001",1257,5,30,41,24,87,35,186,5,34,340,0,0,1,90,2689,6340,659999,0,10,29,0,5,9522711,6744,1784202,11,54,2,142661
"00100010001100101110",613,0,1335,0,0,0,13,1,0,0,344969,0,75,0,0,0,354304,5,0,24505,0,0,0,113383,28904,197,302665,0,93,225
"01010101101001110000",457423,1346527,5786,12744,271809,4616,32348,259395,87097,2796,64580,325,45937,52803,1787018,16301,67026,243391,719972,6397,60923,11382,109136,16743,9478,5356,735,1700530,140839,15219
"10101100111101111101",2278,0,2224,46,1,0,3,0,0,1,259977,0,393,0,5,1,396262,1,8,124661,0,0,0,2213,121988,2,6,1,3950,658
"10000101111001111011",1467,37117,3318,6080149,123439,3000,2900801,94522,16889,223095,589436,4297,107014,3286,433688,20004,58665,284617,213005,125609,3599,4589,108147,322,609593,62228,12901,1853875,995802,37745
"11011100011110010010",910515,169432,18735,97626,6116776,37218,56064,9429,918056,624001,30382,31544,127825,243293,4250275,61244,15777,5301,112672,182303,19239,59549,16033,227106,70833,26800,4018,2028,89164,2853706
"00011111010111110100",520981,2917050,53724,92594,119245,21268,42,7123,979,9172574,130879,10402,15438,549,150789,108244,30862,2537433,391779,146438,835,96538,218396,24586,97937,639248,270,34038,29423,2545268
"01000100110000101111",42311,379085,3323,46453,78789,3696,183275,390558,125690,43001,1478009,3910578,239324,7396,8915,1753691,49828,1714334,353498,102935,7011,809,4591044,1100870,280811,179651,36050,563786,900,27817
"10100011001110011011",0,0,588,793,7,120,78,0,4,21,171,1,0,0,310,2,7541,5378,1,1324,1,19,4,132296,907651,358413,9188,1,3799,842195
"00110001000101011000",14,1,41,137,7,6,11,5,0,1,73,0,0,8,38,63,54728,53609,0,719,0,322,76,82484,37509,9343179,936,1,4658,11313458
"01111001111000001010",176,0,3,8548,1559,37,327,451,15,0,17455,3,3,4,19,166,25,4714,2,477,68,4,2,3937,3750,344281,1464,0,544,474112
"00100100111011101001",14279,104728,80316,371512,17373,1651,48266,2825293,422,2991563,33913,72045,589,102,58572,3479901,924357,2574490,6621,386758,422,13633,1466011,2196,693694,588715,1544,6700941,5283,198258
"00101011101011111101",56,0,68887,0,0,0,0,3,1,0,607663,0,246,0,36,0,279147,5,53,28643,0,0,0,515,5656,0,2,1,246,87
"10000110010010101110",962,291454,17798,6676,28521,3180,43291,232195,6858,214503,1696439,424289,227912,1052,9440,82122,2919,3262612,23037,96219,48824,80423,23239913,95321,460486,3184522,1914730,259682,7741,191484
"01010011100010110000",7086,220415,58637,22,19629,386808,8989,522966,313332,6651,161607,25461,465423,28491,1756038,132619,12557,2149449,1114536,347,2535807,28303,120895,480905,3406,1959,767,1946982,9951,33977
"01010001011001011110",113,1,7,4120,60,0,325,17,2,0,1950,1,4,0,278,11,1209,135983,4,1942,0,5,626,109589,11029,3703668,414,0,503,390291
"00110000110000000110",2728,0,2701,0,8,0,86,2,11,0,842022,0,2699,0,0,0,21890,4,5,3818,0,0,0,41666,854,26,33,0,1,274
"11110101000101100100",40643,1,9082,0,1,0,0,1,11,0,26965,0,603,0,1,0,183459,0,5,1046,0,0,0,14261,10224,40,7,0,273,642
"00101111000011100100",960,0,36825,0,0,0,0,3,1,0,1340102,0,215,0,1,0,131615,1,22,4281,0,0,0,501,1961,2,5,0,67,1009
